iterations,cuts,model,model_base,discretization_type,dataset,accuracy,std,accuracy_pct,best_in_group,samples,features,classes,improvement_vs_base,best_base_model,best_base_accuracy
10it,3p,KDB-mdlp3,KDB,mdlp,liver-disorders,0.595169,0.032622,59.52,false,345,6,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,mfeat-factors,0.952,0.01036,95.2,false,2000,216,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,mfeat-fourier,0.783333,0.022434,78.33,false,2000,76,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,mfeat-karhunen,0.916667,0.013251,91.67,false,2000,64,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,mfeat-morphological,0.576333,0.040254,57.63,false,2000,6,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,mfeat-zernike,0.746167,0.021853,74.62,false,2000,47,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,optdigits,0.923362,0.010244,92.34,false,5620,64,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,page-blocks,0.960776,0.005556,96.08,true,5473,10,5,,,
10it,3p,KDB-mdlp3,KDB,mdlp,pendigits,0.789481,0.023218,78.95,false,10992,16,10,,,
10it,3p,KDB-mdlp3,KDB,mdlp,segment,0.776768,0.021736,77.68,false,2310,19,7,,,
10it,3p,KDB-mdlp3,KDB,mdlp,sonar,0.758456,0.081055,75.85,false,208,60,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,spambase,0.932333,0.006552,93.23,true,4601,57,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,vehicle,0.663522,0.027592,66.35,false,846,18,4,,,
10it,3p,KDB-mdlp3,KDB,mdlp,waveform-5000,0.810066,0.01463,81.01,false,5000,40,3,,,
10it,3p,KDB-mdlp3,KDB,mdlp,wine,0.975714,0.033103,97.57,true,178,13,3,,,
10it,3p,AODE-mdlp3,AODE,mdlp,adult,0.847722,0.003,84.77,false,45222,14,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,balance-scale,0.866119,0.02137,86.61,true,625,4,3,,,
10it,3p,AODE-mdlp3,AODE,mdlp,breast-w,0.973647,0.015814,97.36,false,683,9,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,diabetes,0.75128,0.021449,75.13,true,768,8,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,ecoli,0.829223,0.038848,82.92,true,336,7,8,,,
10it,3p,AODE-mdlp3,AODE,mdlp,glass,0.708921,0.033093,70.89,true,214,9,6,,,
10it,3p,AODE-mdlp3,AODE,mdlp,hayes-roth,0.766345,0.050029,76.63,false,160,4,3,,,
10it,3p,AODE-mdlp3,AODE,mdlp,heart-statlog,0.82963,0.048594,82.96,false,270,13,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,ionosphere,0.916405,0.025744,91.64,false,351,34,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,iris,0.933333,0.061721,93.33,false,150,4,3,,,
10it,3p,AODE-mdlp3,AODE,mdlp,kdd_JapaneseVowels,0.677812,0.028287,67.78,false,9961,14,9,,,
10it,3p,AODE-mdlp3,AODE,mdlp,letter,0.380199,0.010404,38.02,false,20000,16,26,,,
10it,3p,AODE-mdlp3,AODE,mdlp,liver-disorders,0.591304,0.029089,59.13,false,345,6,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,mfeat-factors,0.910167,0.010916,91.02,false,2000,216,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,mfeat-fourier,0.763833,0.019107,76.38,false,2000,76,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,mfeat-karhunen,0.9165,0.013687,91.65,false,2000,64,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,mfeat-morphological,0.578167,0.040559,57.82,false,2000,6,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,mfeat-zernike,0.743667,0.0188,74.37,true,2000,47,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,optdigits,0.875734,0.010334,87.57,false,5620,64,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,page-blocks,0.952739,0.007386,95.27,false,5473,10,5,,,
10it,3p,AODE-mdlp3,AODE,mdlp,pendigits,0.7547,0.017013,75.47,false,10992,16,10,,,
10it,3p,AODE-mdlp3,AODE,mdlp,segment,0.741558,0.02158,74.16,false,2310,19,7,,,
10it,3p,AODE-mdlp3,AODE,mdlp,sonar,0.74719,0.062279,74.72,false,208,60,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,spambase,0.904224,0.009575,90.42,true,4601,57,2,,,
10it,3p,AODE-mdlp3,AODE,mdlp,vehicle,0.630852,0.034769,63.09,false,846,18,4,,,
10it,3p,AODE-mdlp3,AODE,mdlp,waveform-5000,0.808266,0.011676,80.83,true,5000,40,3,,,
10it,3p,AODE-mdlp3,AODE,mdlp,wine,0.986931,0.017873,98.69,true,178,13,3,,,
10it,3p,KDBLd,KDB,local,adult,0.821451,0.002717,82.15,false,45222,14,2,-3.1,KDB,0.852439
10it,3p,KDBLd,KDB,local,balance-scale,0.723667,0.056317,72.37,false,625,4,3,-9.98,KDB,0.823429
10it,3p,KDBLd,KDB,local,breast-w,0.961944,0.015397,96.19,false,683,9,2,-0.34,KDB-mdlp3,0.965343
10it,3p,KDBLd,KDB,local,diabetes,0.754763,0.028496,75.48,true,768,8,2,0.04,KDB-mdlp3,0.754328
10it,3p,KDBLd,KDB,local,ecoli,0.803647,0.045968,80.36,false,336,7,8,-0.88,KDB-mdlp3,0.812404
10it,3p,KDBLd,KDB,local,glass,0.676244,0.053452,67.62,false,214,9,6,-1.85,KDB,0.694746
10it,3p,KDBLd,KDB,local,hayes-roth,0.732739,0.085144,73.27,true,160,4,3,0.6,KDB-mdlp3,0.726757
10it,3p,KDBLd,KDB,local,heart-statlog,0.809877,0.069807,80.99,false,270,13,2,-0.37,KDB,0.81358
10it,3p,KDBLd,KDB,local,ionosphere,0.920255,0.029788,92.03,false,351,34,2,-0.95,KDB,0.929792
10it,3p,KDBLd,KDB,local,iris,0.933333,0.066667,93.33,false,150,4,3,-2.22,KDB,0.955556
10it,3p,KDBLd,KDB,local,kdd_JapaneseVowels,0.760438,0.024468,76.04,false,9961,14,9,-8.95,KDB,0.849949
10it,3p,KDBLd,KDB,local,letter,0.393432,0.011092,39.34,false,20000,16,26,-34.41,KDB,0.737582
10it,3p,KDBLd,KDB,local,liver-disorders,0.591304,0.026384,59.13,false,345,6,2,-6.57,KDB,0.657005
10it,3p,KDBLd,KDB,local,mfeat-factors,0.953,0.010273,95.3,false,2000,216,10,-0.6,KDB,0.959
10it,3p,KDBLd,KDB,local,mfeat-fourier,0.797667,0.015796,79.77,true,2000,76,10,1.07,KDB,0.787
10it,3p,KDBLd,KDB,local,mfeat-karhunen,0.866667,0.02662,86.67,false,2000,64,10,-5.33,KDB,0.92
10it,3p,KDBLd,KDB,local,mfeat-morphological,0.640833,0.045392,64.08,false,2000,6,10,-0.98,KDB,0.650667
10it,3p,KDBLd,KDB,local,mfeat-zernike,0.740333,0.021914,74.03,false,2000,47,10,-1.78,KDB,0.758167
10it,3p,KDBLd,KDB,local,optdigits,0.950176,0.008578,95.02,false,5620,64,10,-1.44,KDB,0.964531
10it,3p,KDBLd,KDB,local,page-blocks,0.958218,0.007459,95.82,false,5473,10,5,-0.26,KDB-mdlp3,0.960776
10it,3p,KDBLd,KDB,local,pendigits,0.882857,0.016734,88.29,false,10992,16,10,-5.66,KDB,0.939441
10it,3p,KDBLd,KDB,local,segment,0.7886,0.041753,78.86,false,2310,19,7,-12.79,KDB,0.91645
10it,3p,KDBLd,KDB,local,sonar,0.697669,0.068,69.77,false,208,60,2,-7.79,KDB,0.775581
10it,3p,KDBLd,KDB,local,spambase,0.927261,0.007544,92.73,false,4601,57,2,-0.51,KDB-mdlp3,0.932333
10it,3p,KDBLd,KDB,local,vehicle,0.65331,0.026246,65.33,false,846,18,4,-2.76,KDB,0.680861
10it,3p,KDBLd,KDB,local,waveform-5000,0.814732,0.008525,81.47,true,5000,40,3,0.47,KDB-mdlp3,0.810066
10it,3p,KDBLd,KDB,local,wine,0.975552,0.027801,97.56,false,178,13,3,-0.02,KDB-mdlp3,0.975714
10it,3p,AODELd,AODE,local,adult,0.804756,0.004703,80.48,false,45222,14,2,-4.53,AODE-bin3u,0.850095
10it,3p,AODELd,AODE,local,balance-scale,0.862992,0.025822,86.3,false,625,4,3,-0.31,AODE-mdlp3,0.866119
10it,3p,AODELd,AODE,local,breast-w,0.975104,0.01404,97.51,true,683,9,2,0.15,AODE-mdlp3,0.973647
10it,3p,AODELd,AODE,local,diabetes,0.743915,0.021062,74.39,false,768,8,2,-0.74,AODE-mdlp3,0.75128
10it,3p,AODELd,AODE,local,ecoli,0.817309,0.034052,81.73,false,336,7,8,-1.19,AODE-mdlp3,0.829223
10it,3p,AODELd,AODE,local,glass,0.701024,0.053696,70.1,false,214,9,6,-0.79,AODE-mdlp3,0.708921
10it,3p,AODELd,AODE,local,hayes-roth,0.695554,0.077305,69.56,false,160,4,3,-7.08,AODE-bin3q,0.766345
10it,3p,AODELd,AODE,local,heart-statlog,0.835802,0.047917,83.58,false,270,13,2,-0.74,AODE-bin3u,0.84321
10it,3p,AODELd,AODE,local,ionosphere,0.911657,0.031092,91.17,false,351,34,2,-0.95,AODE-bin3u,0.921207
10it,3p,AODELd,AODE,local,iris,0.937778,0.051742,93.78,false,150,4,3,-2,AODE-bin3u,0.957778
10it,3p,AODELd,AODE,local,kdd_JapaneseVowels,0.766223,0.014986,76.62,false,9961,14,9,-9.18,AODE-bin3q,0.858046
10it,3p,AODELd,AODE,local,letter,0.356416,0.008774,35.64,false,20000,16,26,-33.63,AODE-bin3q,0.692766
10it,3p,AODELd,AODE,local,liver-disorders,0.594203,0.031467,59.42,false,345,6,2,-8.89,AODE-bin3q,0.683092
10it,3p,AODELd,AODE,local,mfeat-factors,0.928667,0.008958,92.87,false,2000,216,10,-1.02,AODE-bin3q,0.938833
10it,3p,AODELd,AODE,local,mfeat-fourier,0.778167,0.012764,77.82,true,2000,76,10,1.07,AODE-bin3q,0.7675
10it,3p,AODELd,AODE,local,mfeat-karhunen,0.923333,0.013048,92.33,true,2000,64,10,0.12,AODE-bin3q,0.922167
10it,3p,AODELd,AODE,local,mfeat-morphological,0.609333,0.045143,60.93,false,2000,6,10,-3.93,AODE-bin3q,0.648667
10it,3p,AODELd,AODE,local,mfeat-zernike,0.740833,0.019993,74.08,false,2000,47,10,-0.28,AODE-mdlp3,0.743667
10it,3p,AODELd,AODE,local,optdigits,0.89015,0.006763,89.02,false,5620,64,10,-3.04,AODE-bin3u,0.920521
10it,3p,AODELd,AODE,local,page-blocks,0.959132,0.005631,95.91,true,5473,10,5,0.64,AODE-mdlp3,0.952739
10it,3p,AODELd,AODE,local,pendigits,0.830514,0.009864,83.05,false,10992,16,10,-8.95,AODE-bin3q,0.920003
10it,3p,AODELd,AODE,local,segment,0.809091,0.018113,80.91,false,2310,19,7,-8.5,AODE-bin3q,0.894084
10it,3p,AODELd,AODE,local,sonar,0.739252,0.064337,73.93,false,208,60,2,-7.49,AODE-bin3q,0.814144
10it,3p,AODELd,AODE,local,spambase,0.901905,0.008811,90.19,false,4601,57,2,-0.23,AODE-mdlp3,0.904224
10it,3p,AODELd,AODE,local,vehicle,0.641869,0.024704,64.19,false,846,18,4,-3.86,AODE-bin3q,0.680509
10it,3p,AODELd,AODE,local,waveform-5000,0.797199,0.010467,79.72,false,5000,40,3,-1.11,AODE-mdlp3,0.808266
10it,3p,AODELd,AODE,local,wine,0.986822,0.014588,98.68,false,178,13,3,-0.01,AODE-mdlp3,0.986931
10it,3p,KDB,KDB,base,adult,0.852439,0.002801,85.24,true,45222,14,2,,,
10it,3p,KDB,KDB,base,balance-scale,0.823429,0.023637,82.34,true,625,4,3,,,
10it,3p,KDB,KDB,base,breast-w,0.965343,0.015745,96.53,false,683,9,2,,,
10it,3p,KDB,KDB,base,diabetes,0.754328,0.022182,75.43,false,768,8,2,,,
10it,3p,KDB,KDB,base,ecoli,0.812404,0.039085,81.24,false,336,7,8,,,
10it,3p,KDB,KDB,base,glass,0.694746,0.068804,69.47,true,214,9,6,,,
10it,3p,KDB,KDB,base,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,3p,KDB,KDB,base,heart-statlog,0.81358,0.061605,81.36,true,270,13,2,,,
10it,3p,KDB,KDB,base,ionosphere,0.929792,0.020168,92.98,true,351,34,2,,,
10it,3p,KDB,KDB,base,iris,0.955556,0.043033,95.56,true,150,4,3,,,
10it,3p,KDB,KDB,base,kdd_JapaneseVowels,0.849949,0.009823,84.99,true,9961,14,9,,,
10it,3p,KDB,KDB,base,letter,0.737582,0.00807,73.76,true,20000,16,26,,,
10it,3p,KDB,KDB,base,liver-disorders,0.657005,0.044389,65.7,true,345,6,2,,,
10it,3p,KDB,KDB,base,mfeat-factors,0.959,0.009103,95.9,true,2000,216,10,,,
10it,3p,KDB,KDB,base,mfeat-fourier,0.787,0.018832,78.7,false,2000,76,10,,,
10it,3p,KDB,KDB,base,mfeat-karhunen,0.92,0.010774,92,true,2000,64,10,,,
10it,3p,KDB,KDB,base,mfeat-morphological,0.650667,0.019283,65.07,true,2000,6,10,,,
10it,3p,KDB,KDB,base,mfeat-zernike,0.758167,0.014438,75.82,true,2000,47,10,,,
10it,3p,KDB,KDB,base,optdigits,0.964531,0.004779,96.45,true,5620,64,10,,,
10it,3p,KDB,KDB,base,page-blocks,0.960776,0.005556,96.08,false,5473,10,5,,,
10it,3p,KDB,KDB,base,pendigits,0.939441,0.003414,93.94,true,10992,16,10,,,
10it,3p,KDB,KDB,base,segment,0.91645,0.008214,91.65,true,2310,19,7,,,
10it,3p,KDB,KDB,base,sonar,0.775581,0.065654,77.56,true,208,60,2,,,
10it,3p,KDB,KDB,base,spambase,0.932333,0.006552,93.23,false,4601,57,2,,,
10it,3p,KDB,KDB,base,vehicle,0.680861,0.025675,68.09,true,846,18,4,,,
10it,3p,KDB,KDB,base,waveform-5000,0.810066,0.01463,81.01,false,5000,40,3,,,
10it,3p,KDB,KDB,base,wine,0.975714,0.033103,97.57,false,178,13,3,,,
10it,3p,TAN-bin3u,TAN,equal_width,adult,0.854569,0.002962,85.46,true,45222,14,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,balance-scale,0.788147,0.034779,78.81,false,625,4,3,,,
10it,3p,TAN-bin3u,TAN,equal_width,breast-w,0.947288,0.013878,94.73,false,683,9,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,diabetes,0.73135,0.033442,73.13,false,768,8,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,ecoli,0.798789,0.041967,79.88,false,336,7,8,,,
10it,3p,TAN-bin3u,TAN,equal_width,glass,0.622422,0.092727,62.24,false,214,9,6,,,
10it,3p,TAN-bin3u,TAN,equal_width,hayes-roth,0.710347,0.071475,71.03,false,160,4,3,,,
10it,3p,TAN-bin3u,TAN,equal_width,heart-statlog,0.832099,0.049228,83.21,true,270,13,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,ionosphere,0.938283,0.026135,93.83,true,351,34,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,iris,0.951111,0.0434,95.11,true,150,4,3,,,
10it,3p,TAN-bin3u,TAN,equal_width,kdd_JapaneseVowels,0.763777,0.00763,76.38,false,9961,14,9,,,
10it,3p,TAN-bin3u,TAN,equal_width,letter,0.562434,0.009308,56.24,false,20000,16,26,,,
10it,3p,TAN-bin3u,TAN,equal_width,liver-disorders,0.573913,0.043753,57.39,false,345,6,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,mfeat-factors,0.955167,0.012118,95.52,false,2000,216,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,mfeat-fourier,0.771833,0.01525,77.18,false,2000,76,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,mfeat-karhunen,0.9155,0.014916,91.55,false,2000,64,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,mfeat-morphological,0.563833,0.019614,56.38,false,2000,6,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,mfeat-zernike,0.758167,0.013544,75.82,true,2000,47,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,optdigits,0.953201,0.006468,95.32,true,5620,64,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,page-blocks,0.91784,0.005561,91.78,false,5473,10,5,,,
10it,3p,TAN-bin3u,TAN,equal_width,pendigits,0.907661,0.005266,90.77,false,10992,16,10,,,
10it,3p,TAN-bin3u,TAN,equal_width,segment,0.874315,0.011525,87.43,false,2310,19,7,,,
10it,3p,TAN-bin3u,TAN,equal_width,sonar,0.763032,0.083008,76.3,false,208,60,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,spambase,0.675796,0.010277,67.58,false,4601,57,2,,,
10it,3p,TAN-bin3u,TAN,equal_width,vehicle,0.621423,0.031092,62.14,false,846,18,4,,,
10it,3p,TAN-bin3u,TAN,equal_width,waveform-5000,0.790868,0.009931,79.09,false,5000,40,3,,,
10it,3p,TAN-bin3u,TAN,equal_width,wine,0.936381,0.028814,93.64,false,178,13,3,,,
10it,3p,KDB-bin3q,KDB,equal_freq,adult,0.850279,0.002998,85.03,false,45222,14,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,balance-scale,0.823429,0.023637,82.34,false,625,4,3,,,
10it,3p,KDB-bin3q,KDB,equal_freq,breast-w,0.948751,0.01772,94.88,false,683,9,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,diabetes,0.737425,0.030251,73.74,false,768,8,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,ecoli,0.796536,0.038003,79.65,false,336,7,8,,,
10it,3p,KDB-bin3q,KDB,equal_freq,glass,0.694746,0.068804,69.47,false,214,9,6,,,
10it,3p,KDB-bin3q,KDB,equal_freq,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,3p,KDB-bin3q,KDB,equal_freq,heart-statlog,0.791358,0.063175,79.14,false,270,13,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,ionosphere,0.914527,0.027492,91.45,false,351,34,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,iris,0.935556,0.036659,93.56,false,150,4,3,,,
10it,3p,KDB-bin3q,KDB,equal_freq,kdd_JapaneseVowels,0.849949,0.009823,84.99,false,9961,14,9,,,
10it,3p,KDB-bin3q,KDB,equal_freq,letter,0.737582,0.00807,73.76,false,20000,16,26,,,
10it,3p,KDB-bin3q,KDB,equal_freq,liver-disorders,0.657005,0.044389,65.7,false,345,6,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,mfeat-factors,0.9575,0.010351,95.75,false,2000,216,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,mfeat-fourier,0.787,0.018832,78.7,false,2000,76,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,mfeat-karhunen,0.919,0.017698,91.9,false,2000,64,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,mfeat-morphological,0.650667,0.019283,65.07,false,2000,6,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,mfeat-zernike,0.7485,0.019383,74.85,false,2000,47,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,optdigits,0.959192,0.005898,95.92,false,5620,64,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,page-blocks,0.941471,0.005499,94.15,false,5473,10,5,,,
10it,3p,KDB-bin3q,KDB,equal_freq,pendigits,0.939441,0.003414,93.94,false,10992,16,10,,,
10it,3p,KDB-bin3q,KDB,equal_freq,segment,0.91645,0.008214,91.65,false,2310,19,7,,,
10it,3p,KDB-bin3q,KDB,equal_freq,sonar,0.762881,0.051743,76.29,false,208,60,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,spambase,0.847063,0.012019,84.71,false,4601,57,2,,,
10it,3p,KDB-bin3q,KDB,equal_freq,vehicle,0.680861,0.025675,68.09,false,846,18,4,,,
10it,3p,KDB-bin3q,KDB,equal_freq,waveform-5000,0.808134,0.008283,80.81,false,5000,40,3,,,
10it,3p,KDB-bin3q,KDB,equal_freq,wine,0.934324,0.025712,93.43,false,178,13,3,,,
10it,3p,AODE-bin3u,AODE,equal_width,adult,0.850095,0.002786,85.01,true,45222,14,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,balance-scale,0.787101,0.030192,78.71,false,625,4,3,,,
10it,3p,AODE-bin3u,AODE,equal_width,breast-w,0.947746,0.017352,94.77,false,683,9,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,diabetes,0.727445,0.024323,72.74,false,768,8,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,ecoli,0.800881,0.037521,80.09,false,336,7,8,,,
10it,3p,AODE-bin3u,AODE,equal_width,glass,0.638298,0.069357,63.83,false,214,9,6,,,
10it,3p,AODE-bin3u,AODE,equal_width,hayes-roth,0.766345,0.050029,76.63,false,160,4,3,,,
10it,3p,AODE-bin3u,AODE,equal_width,heart-statlog,0.84321,0.056805,84.32,true,270,13,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,ionosphere,0.921207,0.037087,92.12,true,351,34,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,iris,0.957778,0.042663,95.78,true,150,4,3,,,
10it,3p,AODE-bin3u,AODE,equal_width,kdd_JapaneseVowels,0.780712,0.008042,78.07,false,9961,14,9,,,
10it,3p,AODE-bin3u,AODE,equal_width,letter,0.554317,0.008078,55.43,false,20000,16,26,,,
10it,3p,AODE-bin3u,AODE,equal_width,liver-disorders,0.574879,0.043016,57.49,false,345,6,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,mfeat-factors,0.928833,0.012986,92.88,false,2000,216,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,mfeat-fourier,0.762833,0.017005,76.28,false,2000,76,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,mfeat-karhunen,0.915167,0.011475,91.52,false,2000,64,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,mfeat-morphological,0.5675,0.021318,56.75,false,2000,6,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,mfeat-zernike,0.729333,0.016297,72.93,false,2000,47,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,optdigits,0.920521,0.00663,92.05,true,5620,64,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,page-blocks,0.915222,0.006408,91.52,false,5473,10,5,,,
10it,3p,AODE-bin3u,AODE,equal_width,pendigits,0.910845,0.005773,91.08,false,10992,16,10,,,
10it,3p,AODE-bin3u,AODE,equal_width,segment,0.849206,0.011267,84.92,false,2310,19,7,,,
10it,3p,AODE-bin3u,AODE,equal_width,sonar,0.737434,0.071631,73.74,false,208,60,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,spambase,0.676522,0.009206,67.65,false,4601,57,2,,,
10it,3p,AODE-bin3u,AODE,equal_width,vehicle,0.597348,0.029917,59.73,false,846,18,4,,,
10it,3p,AODE-bin3u,AODE,equal_width,waveform-5000,0.792267,0.011133,79.23,false,5000,40,3,,,
10it,3p,AODE-bin3u,AODE,equal_width,wine,0.940244,0.028763,94.02,false,178,13,3,,,
10it,3p,TANLd,TAN,local,adult,0.798896,0.013466,79.89,false,45222,14,2,-5.57,TAN-bin3u,0.854569
